0:0:0imecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
0:0:8:47.186,61,0.0000000000,0.0000000000,0.0000000000,0.1883864850,0.7036097646,0.7511479855,0.6848802567,0.0000000000,0.0000000000,0.2942008078,0.0000000000,0.6972320080,0.7512059808,0.6848832369,0.1498834342,0.0000000000,0.0131996516,0.2255820185,0.0787851736,0.1451330632,0.0652701035,0.0102742035,0.0000000000,0.3505465388,0.3778880537,0.0000000000,0.0000000000,0.0786429420,0.0760789886,0.2514493465,0.2385555357,0.1045790464,0.0529074073,0.1092669070,0.0950673446,0.0307510030,0.0323317498,0.4112593830,0.4022837877,0.0896729603,0.0963103399,0.1663485169,0.1662850529,0.1787142754,0.0000000000,0.0000000000,0.0089262817,0.2498950958,0.2981077731,0.1624345779,0.1543740332,0.0000019268,0.0000000000,0.0000000000,0.0000000000,-0.1713805646,-0.3088962734,0.0543684512,-0.1096756980,-0.3089245856,0.0349178128
0:0:8:48.188,61,0.0000000000,0.0000000000,0.0000000000,0.1881098002,0.7007533908,0.7509753108,0.6842877865,0.0000000000,0.0000000000,0.2940367460,0.0000000000,0.6943975091,0.7510314584,0.6842905283,0.1500322670,0.0000000000,0.0136806276,0.2252279073,0.0784895346,0.1451991796,0.0648937970,0.0097006271,0.0000000000,0.3502835035,0.3779654801,0.0000000000,0.0000000000,0.0788954198,0.0763200596,0.2513215244,0.2385952771,0.1046419218,0.0529170558,0.1102394238,0.0966721177,0.0307881664,0.0323720798,0.4111402631,0.4025374055,0.0902704746,0.0978420302,0.1701228023,0.1700574607,0.1765523255,0.0000000000,0.0000000000,0.0089062536,0.2498421967,0.2983287871,0.1644868255,0.1567547023,0.0000020918,0.0000000000,0.0000000000,0.0000000000,-0.1713521183,-0.3076376915,0.0541238748,-0.1095580459,-0.3076658845,0.0347291268
0:0:8:49.189,61,0.0000000000,0.0000000000,0.0000000000,0.1884309947,0.6962965727,0.7507570386,0.6833714843,0.0000000000,0.0000000000,0.2945229709,0.0000000000,0.6899554133,0.7508112192,0.6833736897,0.1501403302,0.0000000000,0.0141876750,0.2247866988,0.0782521293,0.1452252716,0.0644369200,0.0090371557,0.0000000000,0.3499573767,0.3781312108,0.0000000000,0.0000000000,0.0791458040,0.0765723437,0.2510892451,0.2385283411,0.1046612337,0.0530010164,0.1108226180,0.0974684730,0.0308239013,0.0324152671,0.4111655951,0.4029698968,0.0907952338,0.0988165885,0.1859855503,0.1859367192,0.1708726585,0.0000000000,0.0000000000,0.0088879233,0.2497534752,0.2986440361,0.1660751551,0.1587647647,0.0000017139,0.0000000000,0.0000000000,0.0000000000,-0.1717399210,-0.3056890368,0.0538795777,-0.1098124906,-0.3057171106,0.0345746987
0:0:8:50.191,61,0.0000000000,0.0000000000,0.0000000000,0.1886098236,0.6888316870,0.7499567270,0.6828960180,0.0000000000,0.0000000000,0.2949671447,0.0000000000,0.6825263500,0.7500045300,0.6828979850,0.1502482593,0.0000000000,0.0145615991,0.2242347300,0.0780982673,0.1451360881,0.0640322715,0.0085026538,0.0000000000,0.3494547307,0.3780095875,0.0000000000,0.0000000000,0.0793749765,0.0767708346,0.2510984242,0.2386225611,0.1049492881,0.0530728325,0.1113527343,0.0980638117,0.0308569595,0.0324590690,0.4113288224,0.4034478068,0.0912150443,0.0995155647,0.1908816099,0.1908353865,0.1690306216,0.0000000000,0.0000000000,0.0088778799,0.2497651875,0.2989171147,0.1669185907,0.1596998125,0.0000016176,0.0000000000,0.0000000000,0.0000000000,-0.1721725762,-0.3024176955,0.0533998497,-0.1100287661,-0.3024457395,0.0342483371
0:0:8:51.193,61,0.0000000000,0.0000000000,0.0000000000,0.1974444985,0.6871941090,0.7495449781,0.6822451353,0.0000000000,0.0000000000,0.3035348356,0.0000000000,0.6806909442,0.7495898604,0.6822470427,0.1501994282,0.0000000000,0.0146910651,0.2237513959,0.0779407248,0.1450680494,0.0636057705,0.0080331117,0.0000000000,0.3490739465,0.3781148791,0.0000000000,0.0000000000,0.0796111673,0.0769769177,0.2510196269,0.2385292500,0.1050812900,0.0531325452,0.1119105220,0.0986846536,0.0308793932,0.0324891210,0.4113028347,0.4036654830,0.0917330608,0.1002598405,0.1944702715,0.1944237351,0.1671681404,0.0000000000,0.0000000000,0.0088587515,0.2496992797,0.2992035747,0.1684684306,0.1610547900,0.0000016020,0.0000000000,0.0000000000,0.0000000000,-0.1772125065,-0.3018805683,0.0548401996,-0.1152060479,-0.3019087315,0.0357838906
0:0:8:52.194,61,0.0000000000,0.0000000000,0.0000000000,0.2020156980,0.6821632385,0.7490867376,0.6816657186,0.0000000000,0.0000000000,0.3081005216,0.0000000000,0.6755841374,0.7491288781,0.6816675663,0.1500462592,0.0000000000,0.0147356931,0.2232090980,0.0777619481,0.1451892555,0.0631019622,0.0075982539,0.0000000000,0.3485047221,0.3780141771,0.0000000000,0.0000000000,0.0799109042,0.0772510394,0.2509178221,0.2384110242,0.1052038372,0.0532216765,0.1131346002,0.1003372818,0.0309128296,0.0325207151,0.4112295508,0.4038390815,0.0932092518,0.1027615219,0.1966890693,0.1966355592,0.1660387367,0.0000000000,0.0000000000,0.0088372538,0.2497701496,0.2996279001,0.1783866584,0.1694596857,0.0000007018,0.0000000000,0.0000000000,0.0000000000,-0.1799989194,-0.2997689247,0.0552783124,-0.1179521754,-0.2997969091,0.0363601260
0:0:8:53.196,61,0.0000000000,0.0000000000,0.0000000000,0.1987116337,0.6721182466,0.7476709485,0.6807919741,0.0000000000,0.0000000000,0.3051932454,0.0000000000,0.6656801105,0.7477042675,0.6807935834,0.1501071751,0.0000000000,0.0150846550,0.2230669558,0.0775745958,0.1455493569,0.0625315383,0.0069824937,0.0000000000,0.3479655683,0.3780455887,0.0000000000,0.0000000000,0.0803410783,0.0776984915,0.2509784698,0.2385760397,0.1053965986,0.0533331186,0.1144228801,0.1024216712,0.0309585370,0.0325658955,0.4115621746,0.4060428143,0.0958299935,0.1073778123,0.1987090856,0.1986482590,0.1653154492,0.0000000000,0.0000000000,0.0088158147,0.2503952980,0.3029927909,0.1877978742,0.1794405878,0.0000004619,0.0000000000,0.0000000000,0.0000000000,-0.1785368919,-0.2952893376,0.0539672524,-0.1161794364,-0.2953169644,0.0352491774
0:0:8:54.197,61,0.0000000000,0.0000000000,0.0000000000,0.1964271814,0.6609743834,0.7466821671,0.6787055135,0.0000000000,0.0000000000,0.3032710850,0.0000000000,0.6546621919,0.7467085719,0.6787067652,0.1504249871,0.0000000000,0.0152133266,0.2231892794,0.0773462281,0.1457630694,0.0618586764,0.0062750685,0.0000000000,0.3480084538,0.3804112375,0.0000000000,0.0000000000,0.0809590220,0.0784313753,0.2531619966,0.2406177819,0.1056708097,0.0534259900,0.1172646433,0.1064397022,0.0310726278,0.0326824337,0.4126810133,0.4107216895,0.1002586335,0.1140649319,0.2024321407,0.2023706138,0.1648993343,0.0000000000,0.0000000000,0.0087870043,0.2556087375,0.3154520690,0.2020751536,0.1945037544,0.0000004803,0.0000000000,0.0000000000,0.0000000000,-0.1776691228,-0.2903504670,0.0527587011,-0.1150123477,-0.2903780937,0.0342793651
0:0:8:55.199,61,0.0000000000,0.0000000000,0.0000000000,0.1680972278,0.6274241805,0.7432163954,0.6433001161,0.0000000000,0.0000000000,0.2781521976,0.0000000000,0.6218810678,0.7432326674,0.6433013678,0.1502633542,0.0000000000,0.0152454944,0.2232078910,0.0770650432,0.1461790055,0.0610121116,0.0056667486,0.0000000000,0.3480739295,0.3812693655,0.0000000000,0.0000000000,0.0815697908,0.0794236064,0.2537828088,0.2413251996,0.1057122052,0.0535469502,0.1211381033,0.1139828190,0.0312816575,0.0328679085,0.4126150608,0.4120683074,0.1110217422,0.1245085746,0.2316326648,0.2315184921,0.1642803997,0.0000000000,0.0000000000,0.0087743010,0.2735863626,0.3339715600,0.2123665512,0.2078446448,0.0000005053,0.0000000000,0.0000000000,0.0000000000,-0.1636393219,-0.2751157284,0.0459528118,-0.0988480076,-0.2751432359,0.0278524905
0:0:8:56.200,61,0.0000000000,0.0000000000,0.0000000000,0.1756636947,0.6000944376,0.7416072488,0.5797206163,0.0000000000,0.0000000000,0.2897096574,0.0000000000,0.5943406820,0.7416185141,0.5797213912,0.1496745944,0.0000000000,0.0153730027,0.2222369909,0.0766582265,0.1465564519,0.0597067177,0.0051119048,0.0000000000,0.3566630483,0.3911133409,0.0000000000,0.0000000000,0.0822428688,0.0816507787,0.2541908324,0.2419741601,0.1055377200,0.0536075868,0.1286220998,0.1278076619,0.0316577144,0.0331982747,0.4080159366,0.4125792384,0.1301983893,0.1441589594,0.2470983118,0.2469017357,0.1637307853,0.0000000000,0.0000000000,0.0087557090,0.3051050007,0.3682470918,0.2208803743,0.2207183838,0.0000007741,0.0000000000,0.0000000000,0.0000000000,-0.1709965318,-0.2632586360,0.0458295494,-0.1036359295,-0.2632864714,0.0278772097
0:0:8:57.202,61,0.0000000000,0.0000000000,0.0000000000,0.0827992484,0.5549017787,0.7419724464,0.5036060214,0.0000000000,0.0000000000,0.2032284737,0.0000000000,0.5514093637,0.7419793010,0.5035961866,0.1493269801,0.0000000000,0.0155257201,0.2223645598,0.0765364990,0.1479273736,0.0586282127,0.0044380422,0.0000000000,0.3714836240,0.4051576853,0.0000000000,0.0000000000,0.0852481574,0.0891781449,0.2646586299,0.2622717917,0.1051995754,0.0538003258,0.1355671287,0.1384467036,0.0322252139,0.0336836986,0.4063832462,0.4134167135,0.1481518149,0.1627290994,0.2554227412,0.2551647127,0.1637046635,0.0000000000,0.0000000000,0.0087277228,0.3518163264,0.4198015928,0.2435678244,0.2498080134,0.0000012125,0.0000000000,0.0000000000,0.0000000000,-0.1205516234,-0.2423917800,0.0297258776,-0.0491026640,-0.2424196154,0.0121367658
0:0:8:58.204,61,0.0000000000,0.0000000000,0.0000000000,0.1540872604,0.5867820978,0.7432876229,0.4781918228,0.0000000000,0.0000000000,0.2700215578,0.0000000000,0.5815578699,0.7432912588,0.4781808257,0.1490587741,0.0000000000,0.0156167848,0.2224700153,0.0761821941,0.1490663737,0.0559495613,0.0037131449,0.0000000000,0.3760914505,0.4098230004,0.0000000000,0.0000000000,0.0887266845,0.0938889608,0.2677234709,0.2676569521,0.1047685668,0.0539708473,0.1480692923,0.1539932191,0.0328202136,0.0341784470,0.4052020311,0.4139704406,0.1588963568,0.1751913428,0.2715503573,0.2712081373,0.1633862555,0.0000000000,0.0000000000,0.0086632241,0.3552643061,0.4236049056,0.2965844870,0.2985432744,0.0000015119,0.0000000000,0.0000000000,0.0000000000,-0.1596186459,-0.2570931613,0.0417632945,-0.0910496116,-0.2571210265,0.0239030737
0:0:8:59.205,61,0.0000000000,0.0000000000,0.0000000000,0.1466455609,0.5990876555,0.7459058166,0.4886170626,0.0000000000,0.0000000000,0.2585449219,0.0000000000,0.5941767693,0.7459067106,0.4886095524,0.1493384987,0.0000000000,0.0134210652,0.2229540795,0.0756103992,0.1516760141,0.0532215498,0.0028868590,0.0000000000,0.3779473603,0.4120137990,0.0000000000,0.0000000000,0.0932957083,0.0981571078,0.2700394392,0.2705090046,0.1043386832,0.0541452840,0.1671321094,0.1740776896,0.0334854797,0.0347135738,0.4049651623,0.4153991342,0.1731922328,0.1932502836,0.2951669693,0.2947296500,0.1590527445,0.0000000000,0.0000000000,0.0085778572,0.3296990395,0.4018993080,0.3374468684,0.3421320319,0.0000015155,0.0000000000,0.0000000000,0.0000000000,-0.1526158452,-0.2623788118,0.0408064984,-0.0865297616,-0.2624060810,0.0232086964
0:0:9:00.207,61,0.0000000000,0.0000000000,0.0000000000,0.1381567270,0.6031155586,0.7474381924,0.5233977437,0.0000000000,0.0000000000,0.2468631119,0.0000000000,0.5985530019,0.7474325299,0.5233927965,0.1555368453,0.0000000000,0.0124169523,0.2305327952,0.0748848170,0.1552506685,0.0510786772,0.0019007253,0.0000000000,0.3766485453,0.4129531682,0.0000000000,0.0000000000,0.0964733362,0.1007261276,0.2760964930,0.2725020945,0.1038430855,0.0542763732,0.1752957404,0.1833522618,0.0340627916,0.0351780243,0.4195564687,0.4337603152,0.1831168383,0.2060433775,0.2974295616,0.2969903946,0.1577498913,0.0000000000,0.0000000000,0.0084738424,0.3231034279,0.3954773545,0.3674405813,0.3700479865,0.0000014592,0.0000000000,0.0000000000,0.0000000000,-0.1456492245,-0.2640292943,0.0392157249,-0.0814831182,-0.2640556693,0.0220025871
0:0:9:01.208,61,0.0000000000,0.0000000000,0.0000000000,0.1407079846,0.6128748059,0.7489520907,0.5570068359,0.0000000000,0.0000000000,0.2482797503,0.0000000000,0.6082469225,0.7489417195,0.5570017695,0.1665888429,0.0000000000,0.0115329893,0.2378485352,0.0741807371,0.1610838175,0.0497952737,0.0009446184,0.0000000000,0.3752382994,0.4132213295,0.0000000000,0.0000000000,0.0987239107,0.1025187001,0.2838431299,0.2766055465,0.1034226194,0.0543600060,0.1821701676,0.1915421188,0.0346379876,0.0356515013,0.4263906777,0.4407471120,0.1913502961,0.2149740607,0.2912030816,0.2907883227,0.1575517207,0.0000000000,0.0000000000,0.0083670979,0.3198396862,0.3924779892,0.3815779686,0.3834602535,0.0000012811,0.0000000000,0.0000000000,0.0000000000,-0.1463164687,-0.2683346570,0.0400672071,-0.0828913897,-0.2683611214,0.0227646511
0:0:9:02.210,61,0.0000000000,0.0000000000,0.0000000000,0.1354630589,0.6120674610,0.7495452166,0.5800306797,0.0000000000,0.0000000000,0.2431853563,0.0000000000,0.6075609326,0.7495307922,0.5800236464,0.1744167805,0.0000000000,0.0113860061,0.2473090291,0.0734498128,0.1634200215,0.0487650856,0.0000000000,0.0005334620,0.3743835390,0.4133599401,0.0000000000,0.0000000000,0.1005936339,0.1038456857,0.2885596156,0.2807580233,0.1029166579,0.0544048660,0.1851466298,0.1950179487,0.0351489000,0.0360921994,0.4383618534,0.4548285604,0.1949231327,0.2197172642,0.2851866484,0.2848201096,0.1577754468,0.0000000000,0.0000000000,0.0082566058,0.3177958131,0.3904834986,0.3884867132,0.3901010156,0.0000015606,0.0000000000,0.0000000000,0.0000000000,-0.1433275342,-0.2679121792,0.0391904414,-0.0798098147,-0.2679385841,0.0218842495
0:0:9:03.211,61,0.0000000000,0.0000000000,0.0000000000,0.1429295540,0.5991283655,0.7492383122,0.5915069580,0.0000000000,0.0000000000,0.2511019111,0.0000000000,0.5945103168,0.7492145300,0.5914996266,0.1789275408,0.0000000000,0.0112367859,0.2514494061,0.0725564882,0.1649613976,0.0478747264,0.0000000000,0.0026800276,0.3736493886,0.4137102962,0.0000000000,0.0000000000,0.1025743335,0.1052779257,0.2909059823,0.2825557292,0.1024269760,0.0543991402,0.1870438904,0.1974158138,0.0356287919,0.0365257636,0.4452868104,0.4623985291,0.1993269920,0.2291334569,0.2867579162,0.2864592075,0.1580075473,0.0000000000,0.0000000000,0.0081474520,0.3165667057,0.3894546926,0.3923868835,0.3941267133,0.0000024132,0.0000000000,0.0000000000,0.0000000000,-0.1482189149,-0.2623472512,0.0396358371,-0.0843370706,-0.2623735070,0.0226192530
0:0:9:04.213,61,0.0000000000,0.0000000000,0.0000000000,0.1341046989,0.6012706161,0.7490741014,0.5997526646,0.0000000000,0.0000000000,0.2423734069,0.0000000000,0.5968385935,0.7490454912,0.5997450352,0.1813003421,0.0000000000,0.0109652746,0.2546187043,0.0718031824,0.1661342829,0.0470200367,0.0000000000,0.0043985602,0.3723331988,0.4139041901,0.0000000000,0.0000000000,0.1047701538,0.1071753055,0.2923330367,0.2835620344,0.1019357964,0.0544331037,0.1886751056,0.1997999251,0.0361313261,0.0369891264,0.4485959113,0.4659183621,0.2031976879,0.2350456417,0.3023433387,0.3021094501,0.1576600224,0.0000000000,0.0000000000,0.0080397530,0.3149832487,0.3885406554,0.4069580436,0.4107464552,0.0000026001,0.0000000000,0.0000000000,0.0000000000,-0.1430303454,-0.2631701231,0.0383849554,-0.0791108087,-0.2631964087,0.0212907325
