Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
16:36:17:05.120,61,0,0,0,0.096647367,0.599979401,0.635962129,0.659713149,0,0,0.207314208,0,0.596320868,0.636325359,0.659733057,0.125255108,0,0.02678453,0.250494182,0.08390525,0.148795411,0.072998554,0.022641579,0,0.372465223,0.366886526,0,0,0.072529718,0.07164596,0.220860183,0.225684792,0.082764782,0.051596962,0.073539622,0.062320724,0.026352011,0.02800842,0.438437134,0.41471231,0.071348779,0.070530988,0.193764716,0.193399251,0.159038916,0,0,0.008819015,0.230452985,0.259207875,0.116336927,0.11040514,0.00000001,0,0,0,-0.122356527,-0.262200028,0.032744292,-0.057024747,-0.262226611,0.015296362
16:36:17:06.121,61,0,0,0,0.099212632,0.605001211,0.638626099,0.659544408,0,0,0.209526226,0,0.601269782,0.639021754,0.659564674,0.12481381,0,0.024580265,0.24801144,0.083597451,0.148384899,0.07279665,0.022540428,0,0.374350905,0.369675189,0,0,0.072283708,0.071457088,0.21904023,0.221317947,0.082838029,0.051336329,0.074516363,0.063263319,0.02639115,0.028040232,0.434723645,0.409638256,0.07240577,0.071576364,0.194038332,0.19368355,0.158646941,0,0,0.008836428,0.231599033,0.261247695,0.119086504,0.113634527,9.9E-09,0,0,0,-0.123589858,-0.264418006,0.03336541,-0.058503658,-0.264444798,0.015831646
16:36:17:07.123,61,0,0,0,0.108870439,0.617476165,0.64281404,0.659855664,0,0,0.218432874,0,0.613477528,0.643231511,0.659876347,0.124297895,0,0.023562877,0.24589847,0.083265424,0.147939295,0.072615996,0.022522507,0,0.375690877,0.371358872,0,0,0.072023526,0.071236983,0.218119979,0.219668463,0.082892254,0.051028725,0.075296715,0.064022377,0.026422633,0.028061088,0.431442142,0.405229718,0.073168084,0.07232327,0.191153511,0.190790311,0.158561558,0,0,0.00884226,0.232396066,0.262527287,0.120447576,0.115123972,1.69E-08,0,0,0,-0.128654242,-0.269966304,0.035488404,-0.064102583,-0.269993126,0.017726434
16:36:17:08.124,61,0,0,0,0.115331322,0.624512911,0.645923197,0.66046834,0,0,0.224627554,0,0.620329261,0.646363378,0.660488904,0.124097481,0,0.023034265,0.244359732,0.083034426,0.14743723,0.072567873,0.022495192,0,0.376503348,0.372368097,0,0,0.071752191,0.070994586,0.217693895,0.218852684,0.083190538,0.05074618,0.075935431,0.06459824,0.026444871,0.028087342,0.430381626,0.403870761,0.073635697,0.072812527,0.157409146,0.157096788,0.164016753,0,0,0.008847036,0.232942894,0.26336512,0.120923512,0.115733184,0.000000036,0,0,0,-0.132191494,-0.273112714,0.036903944,-0.06784831,-0.273139596,0.018990247
16:36:17:09.126,61,0,0,0,0.121406287,0.628456354,0.652370632,0.661639094,0,0,0.230536133,0,0.624108851,0.652798832,0.661658824,0.12421187,0,0.022338754,0.242618337,0.082888633,0.146521181,0.072471596,0.022454489,0,0.378564745,0.376284897,0,0,0.071515188,0.070768982,0.21764645,0.218444645,0.083702542,0.050520714,0.07658834,0.065149449,0.026494455,0.028145924,0.430180192,0.403563678,0.074078552,0.073309019,0.148083776,0.147786126,0.167229712,0,0,0.008850672,0.234923586,0.267498106,0.121403359,0.11630445,1.009E-07,0,0,0,-0.135604337,-0.274907142,0.038111415,-0.071387194,-0.274934173,0.02011691
16:36:17:10.128,61,0,0,0,0.125078797,0.635678053,0.655958116,0.662981927,0,0,0.233904764,0,0.6312114,0.656350136,0.662999928,0.12441583,0,0.022291103,0.240683079,0.082696989,0.145804271,0.07230679,0.022319073,0,0.379538238,0.377709717,0,0,0.071341455,0.07060039,0.217593268,0.21823962,0.084289938,0.050307971,0.077301964,0.065753177,0.026550295,0.0282153,0.429945588,0.403439522,0.074470982,0.07376162,0.142787471,0.142498657,0.169452608,0,0,0.008846787,0.235733852,0.268789113,0.121874809,0.116841726,4.105E-07,0,0,0,-0.137464359,-0.278110206,0.039103933,-0.073480658,-0.278137296,0.020959625
16:36:17:11.129,61,0,0,0,0.124659397,0.642157197,0.660825074,0.663897574,0,0,0.23332642,0,0.637668669,0.661154926,0.66391474,0.124833025,0,0.022204848,0.237656355,0.082474724,0.145179585,0.072082199,0.022094082,0,0.380219787,0.378677458,0,0,0.071316108,0.070556447,0.217634425,0.218108892,0.085542455,0.050171375,0.080675244,0.067999698,0.026670167,0.028339522,0.42938143,0.403135419,0.075034536,0.074401595,0.140601769,0.14031665,0.170375049,0,0,0.008854864,0.236290947,0.269585162,0.123957418,0.118777171,4.884E-07,0,0,0,-0.13701421,-0.280938774,0.039394353,-0.073174961,-0.280966103,0.021096371
16:36:17:12.131,61,0,0,0,0.131803557,0.646867573,0.667001009,0.664846063,0,0,0.240166575,0,0.642187774,0.667262256,0.664862931,0.125440568,0,0.020746488,0.235726118,0.082283579,0.144493207,0.071824595,0.02187573,0,0.380659849,0.379482359,0,0,0.071452513,0.070646949,0.218588486,0.21831359,0.088465288,0.050080452,0.085959487,0.07192155,0.026850281,0.028515879,0.427483648,0.402571321,0.075893238,0.075665213,0.14617233,0.145868987,0.170622006,0,0,0.008872007,0.236866072,0.27038157,0.129446581,0.123010956,6.048E-07,0,0,0,-0.140948504,-0.28309089,0.040844098,-0.07732188,-0.283118337,0.02246934
16:36:17:13.132,61,0,0,0,0.144945025,0.649721205,0.674070358,0.666430891,0,0,0.253100812,0,0.644705951,0.674295902,0.666446388,0.12716268,0,0.019544624,0.234671354,0.082093045,0.143523991,0.071635723,0.021610742,0,0.381245881,0.382020176,0,0,0.071559191,0.070709534,0.219527185,0.218610436,0.089766771,0.050015245,0.087953091,0.073502265,0.027023792,0.028694199,0.427285999,0.402842313,0.076557323,0.076522343,0.147512093,0.147206143,0.171086624,0,0,0.008889386,0.237504259,0.271890104,0.131404996,0.124682091,1.0794E-06,0,0,0,-0.14848733,-0.284522712,0.043239847,-0.084998906,-0.28455013,0.024826065
16:36:17:14.134,61,0,0,0,0.146911427,0.64402622,0.676541984,0.667270899,0,0,0.25535208,0,0.638984442,0.676756084,0.667285621,0.127906635,0,0.018988038,0.230856881,0.081920773,0.142852306,0.071419522,0.021117598,0,0.381575972,0.383544087,0,0,0.071653098,0.070786022,0.21987702,0.218620718,0.091418617,0.049927432,0.089647196,0.074917764,0.027172674,0.028853796,0.424509764,0.402413845,0.077229753,0.07788229,0.151311696,0.151052401,0.171128437,0,0,0.008915613,0.237957358,0.272821873,0.132692352,0.125926867,2.7877E-06,0,0,0,-0.149915695,-0.282058328,0.043253653,-0.086214073,-0.282085657,0.02494991
16:36:17:15.136,61,0,0,0,0.150993973,0.649812996,0.678720534,0.668135643,0,0,0.259068668,0,0.644650221,0.678935707,0.668148637,0.128670067,0,0.018652851,0.228620395,0.081712037,0.142372847,0.07121715,0.020674989,0,0.381850481,0.384592712,0,0,0.071727499,0.070830718,0.220307425,0.218764246,0.09272711,0.049805217,0.091482431,0.076712579,0.027319901,0.029013727,0.422969282,0.401944697,0.077992134,0.079450987,0.143765703,0.143589079,0.172470868,0,0,0.008937545,0.238689721,0.275306553,0.133700088,0.127322316,0.000003252,0,0,0,-0.151987299,-0.284653068,0.044271361,-0.088544346,-0.284680575,0.025871009
16:36:17:16.137,61,0,0,0,0.144283205,0.647422969,0.680022955,0.672807396,0,0,0.252583712,0,0.642431498,0.680240572,0.672816277,0.133140773,0,0.018006824,0.227721423,0.081513129,0.141806349,0.071046278,0.020155406,0,0.382123649,0.386842281,0,0,0.071926512,0.070997864,0.224362195,0.220468223,0.094576716,0.049720429,0.092458151,0.077657156,0.027474651,0.029185515,0.423875749,0.404570848,0.078578472,0.080413163,0.141951188,0.141800016,0.173591405,0,0,0.008965115,0.23911579,0.276466519,0.134228632,0.128042102,4.0404E-06,0,0,0,-0.148226872,-0.28350699,0.043002166,-0.084635623,-0.283534408,0.024627131
16:36:17:17.139,61,0,0,0,0.144888505,0.650278568,0.683064699,0.674302101,0,0,0.253127098,0,0.645255923,0.683302224,0.674309731,0.134700432,0,0.014542099,0.226842046,0.081374653,0.141528755,0.070848636,0.019820938,0,0.381863564,0.387464434,0,0,0.072158508,0.071198456,0.225761831,0.221027181,0.09679538,0.049743798,0.094745509,0.079712972,0.027662614,0.029375352,0.423481941,0.404707819,0.079431482,0.08154957,0.142417699,0.142263442,0.173983485,0,0,0.009001705,0.239613265,0.277652323,0.136930063,0.131052271,4.2929E-06,0,0,0,-0.148492336,-0.28476581,0.043280274,-0.084959745,-0.284793288,0.024837047
16:36:17:18.140,61,0,0,0,0.14285697,0.652239084,0.684380293,0.675292671,0,0,0.251003981,0,0.647259593,0.684620023,0.675299406,0.136700198,0,0.013497361,0.226509735,0.081047535,0.141206443,0.070558377,0.019449467,0,0.382181585,0.388883263,0,0,0.072394639,0.071404629,0.226746425,0.221589968,0.097875178,0.049665753,0.095881194,0.081043683,0.027832648,0.029548843,0.424040735,0.405835062,0.081291743,0.083845325,0.138152361,0.137987346,0.175346538,0,0,0.009013906,0.240260571,0.279016972,0.138391316,0.132971495,0.000005564,0,0,0,-0.147210062,-0.285594523,0.043041457,-0.08374776,-0.285622001,0.024558945
16:36:17:19.143,61,0,0,0,0.145896018,0.656077921,0.68907702,0.67700237,0,0,0.253921002,0,0.651003122,0.689272702,0.677008092,0.137883097,0,0.012830435,0.226537004,0.080876075,0.141012162,0.070381694,0.019054474,0,0.382498175,0.389946401,0,0,0.072637707,0.071599223,0.228458256,0.222392008,0.098624259,0.049655974,0.09661933,0.081854425,0.028003341,0.029725986,0.424421758,0.40649721,0.082155451,0.084876597,0.139757976,0.139581695,0.176188186,0,0,0.009032539,0.242812067,0.282907218,0.139317945,0.133942708,0.000005595,0,0,0,-0.148848504,-0.287319541,0.043793872,-0.085486859,-0.287347019,0.025227463
16:36:17:20.143,61,0,0,0,0.148145989,0.657581389,0.693585277,0.677877724,0,0,0.256053269,0,0.65244621,0.693779588,0.677883148,0.138673693,0,0.011086095,0.226615757,0.080704905,0.14101477,0.070267014,0.018879354,0,0.382618606,0.390532643,0,0,0.072858006,0.071769282,0.231319904,0.223397732,0.099162549,0.049649693,0.097274967,0.082599722,0.028182289,0.029897494,0.424745619,0.406902015,0.082941786,0.08569292,0.140305772,0.140124172,0.178723246,0,0,0.00905585,0.246194914,0.287902802,0.140075564,0.134649798,0.000004908,0,0,0,-0.150069758,-0.288011372,0.044262309,-0.08678811,-0.288038909,0.025675522
16:36:17:21.145,61,0,0,0,0.149160981,0.663324475,0.696727216,0.679417193,0,0,0.256771147,0,0.658141732,0.69691819,0.679422796,0.139384106,0,0.009775783,0.226719901,0.080423743,0.140891299,0.070128858,0.018684885,0,0.382660598,0.391059786,0,0,0.073082954,0.071924418,0.233063012,0.224182069,0.099530064,0.049575023,0.097883277,0.083298653,0.028348463,0.030056071,0.425079823,0.407255769,0.083615691,0.086387053,0.136980116,0.136803821,0.181358174,0,0,0.00906315,0.247376367,0.289610654,0.140695363,0.135228127,4.8147E-06,0,0,0,-0.150379479,-0.290541232,0.044764612,-0.087317534,-0.290568978,0.026071707
